G A B	C
given to individuals	who and or in with
given to industry	and
given to infants	and
given to instruction	in
given to issues	of
given to it	by in as is from the and to at on a because for under was when here than that of which through except
given to its	members
given to justify	the
given to keep	the
given to keeping	the
given to know	the that
given to large	numbers
given to local	authorities
given to maintain	the
given to maintaining	the
given to make	the a it
given to making	the
given to man	to by in for as the a and that
given to mankind	by in
given to many	of men to
given to matters	of
given to me	by in to as for and at on a when that of was from the I with during if is because through
given to meet	the
given to members	of
given to men	who of by in and to for as
given to methods	of
given to more	than
given to most	of
given to much	wine
given to my	father mother wife son brother own
given to no	other one man
given to none	but
given to officers	of
given to one	of who or man person group and
given to only	one a
given to or	served taken
given to other	people
given to others	to in who
given to our	own Lord people first senses country
given to outbursts	of
given to parents	and
given to patients	with who in to receiving and
given to people	who with in of to
given to persons	who of in with
given to prayer	and
given to pregnant	women
given to prepare	for the
given to prevent	the
given to problems	of
given to projects	that
given to promote	the
given to protect	the
given to protecting	the
given to prove	that the
given to provide	a
given to providing	a
given to pupils	in
given to questions	of
given to raise	the
given to reading	and
given to reduce	the
given to reducing	the
given to relieve	the pain
given to remove	the
given to representatives	of
given to research	and on
given to residents	of
given to save	a
given to school	children
given to science	and
given to secure	the a
given to security	holders
given to see	the that
given to setting	up
given to several	of
given to show	the that how what
given to so	many
given to social	and
given to some	of other one
given to somebody	else
given to someone	else who
given to state	residents and
given to stimulate	the
given to stop	the
given to strengthen	the
given to strengthening	the
given to students	who in of to at from with and
given to studies	of
given to study	and
given to such	a as an factors questions persons matters person term of
given to support	the this
given to take	the
given to talking	about
given to teachers	in
given to test	the
given to that	which part effect question of term person word portion
given to the	world public poor people patient question fact first development subject children child possibility other whole new study use problem same person following various church word Church most mother king two work individual role press author term British King students young President general effect French city idea state jury local United members men said latter matter English State man owner Jews need American different Government police family company government country problems one former student process words defendant Son party more flames parties second selection best human old great needs nature Indians possible Governor establishment importance group design concept National court production Lord town wife House right nearest social officers Secretary effects bride system chief three University client subjects Duke Board parents plaintiff body entire place nation woman national movement mind cause soldiers school present original employee sons type relationship women construction reader way workers issue head priests Commission inhabitants debtor preparation proper extent Court class last federal terms States governor German questions customer community pupils impact states Minister Committee provision father influence potential principal enemy sick president saints Federal notion principle accused political Indian purchaser land practice quality New husband central disciples writer training military priest economic son special next physical infant executive small Royal creation Company committee actual cultivation republican lower case several Jewish amount teacher Queen master common Council organization patients many choice apostles history number applicant trustees Chinese baby Israelites highest improvement persons girl air animal third bank water contrary troops Christian law General condition boy employer very tenant agent building care relative Prince peasants value animals army discussion service formation boys application Emperor newly user private publisher Crown four theory method Supreme project owners language interests character area board teaching story future buyer dead main appropriate dogs particular growth early control officer Roman soul large Apostles employees expression college computer form ways time natives education Society rest house specific farmers above doctrine Earl courts long position religious Japanese gods power source high manner College participants Irish teachers late bishop book results upper village non corporation landlord task commissioners working provisions phrase little collection Commissioners district analysis judge eldest consideration Bishop Spanish views industry material Department publishers ancient county foreign needy authorities historical details Russian senses Registrar trade clergy part important European younger location library structure period seller South rights basic evidence monks lowest methods treatment war Soviet Pope earth business faithful white practical Union Senate protection winds program Gentiles native conditions size Commissioner principles widow natural parent situation action judges act pupil maintenance Central statement relation object possibilities introduction cost staff Medes Chief institution management testimony university minister City Museum trustee society art disease meaning duke point factors servants democratic prisoners spirit lord legal female life so kind citizens reading secretary current region island policy river implications worker drawer others Holy name consumer contractor order Dutch candidate good parish presence necessity crown captain older works firm Executive museum Levites royal Congress rich plant medical male personal Catholic consequences families Public instrument larger requirements less poet health primary respective view left experimental queen machine creditor surface proposed arts eye Greek field clerk major existing means welfare top commission emperor higher decision Bank council promotion administration planning adverse moral Spaniards dog commander operation monastery few growing laity ordinary prince Ministry chiefs temple degree Press cattle facts holder provinces girls respondent audience victim sun opposite proposal total claims phenomenon representatives plan modern full authors arrangement burning expansion data artist prisoner slave tribe Library Italian sheriff Germans civil horse High slaves Greeks satisfaction taxpayer shareholders argument deceased five operator description directors Americans member activities union wrong desirability office legislature real youth bishops leader product leaders pursuit report overall internal prophet Arabs distribution Bill West imagination final Prophet carrier spiritual daughter manufacture prevention mayor laws text settlement passage proceedings schools making ability soil printer senior First ministers significance financial hospital existence picture churches preservation workmen holders mass progress Director newspapers team implementation fundamental farmer Attorney topic department end composition population International function agricultural line judgment official abbey scientific content age authority support opinion god District traditional constitution North surviving circumstances determination Grand delegates technical types heir couple issues rural unit Army smaller elderly acquisition Republican extension profession performance guests driver East parts industrial followers justices winner earlier Russians psychological majority heads wounded Master differences charge Constitution educational earl course interpretation inclusion borrower Corporation statute definition dying middle labourer figure difference home governors insurer self science worship tenants free recipient single true average prospective identification attorney experience candidates efforts ship characteristics paper Virgin tax commanders popular masses employment external processes hero understanding well learner agents environment search alien claim relations letter information investigation injured opinions black research Muslims pope Red colony demand inner mission leading London level devil plants individuals living fire manager blood previous bill birds remaining magistrates Christians administrative provincial wind descendants site director cultural initial physician successful doctor congregation market creditors exercise appellant fathers media prophets image purpose light species relatives will nurse Underwriters examination solution thought Parliament relevant race writing Canadian regular southern sea registrar crew bridegroom defendants oldest superintendent removal status World stage greatest Jesuits direct agency purchase changes representative Catholics settlers trial occupier Democratic pigs immediate Portuguese Poor elements quantity commercial international African truth interaction scheme horses scene property nations Association ambassadors setting ladies servant friends Prime victims insured mortgagor League environmental groom model suggestion enterprise youngest increase faculty evaluation supreme proposition claimant colonies adoption Great Commonwealth appearance skin publication probable western angels face elimination underlying heirs availability correct event culture Institute lessee Western simple mental opening formulation petitioner enemies least wishes groups Chancellor elder Turkish northern bird famous Father association lender twelve presentation affair domestic distinction electron active ideas capital co joint mothers player security respondents struggle range negative engine ball holy positive music Act missionaries rebels rules substance normal length reduction proprietor developing test seven poorer gas forms soldier low Bible change strings intention Polish offender inmates recent belief plaintiffs forces aged literary Speaker vast feelings professional style corresponding reasons direction grand habit desire factor
given to their	children own fathers
given to them	by in to for as and at that on is from the of when was under a because or through are with during all without before so were they which over after only than
given to these	questions two people patients words matters men problems factors terms three issues and subjects children
given to this	question subject problem matter aspect type work point group part kind important new term issue by particular form class in country word fact area view phase branch species factor topic process generation man phenomenon idea effect great book project sort one condition method theory movement argument or place and section
given to those	who of in with that whose which persons people whom students from areas
given to thousands	of
given to trade	and
given to training	in
given to two	or of
given to understand	that by the in it was from he
given to understanding	the
given to us	by in to as for of and the through at eternal from all is that a on with only so when without not
given to use	of the
given to using	the
given to very	few
given to ways	of in
given to what	is the was he we they
given to whether	the or
given to women	in who and to with by
given to work	with
given to workers	in
given to works	of in
given to you	by in as to and for at from on when or is that the
given to young	children people men
given together with	the a
given too little	attention
given too much	weight to attention power of importance credit emphasis freedom
given top priority	in to by and
given total number	of
given towards the	end
given tract of	land
given training in	the
given twice a	day week year
given twice as	much
given twice daily	for
given twice or	thrice
given two coats	of
given two hours	to
given two of	the
given two or	three more
given two sets	of
given two to	three
given two weeks	to
given two wings	of
given two years	to
given type of	work
given umbrage to	the
given under heaven	whereby among
given under my	hand
given under oath	subject
given under such	circumstances
given under the	heading auspices head provisions direction title name same following hand Act influence headings
given under this	section Act
given unit of	time
given universe of	discourse
given until after	the
given until the	end patient
given unto Me	in
given unto every	one
given unto him	to a much by of
given unto me	in by
given unto the	Gentiles
given unto them	the over in
given unto us	exceeding all the
given unto you	to
given up a	lot great good
given up after	the a
given up all	hope hopes idea thoughts thought the his for that their expectation attempts my her
given up and	the gone a was that left replaced
given up any	hope idea attempt
given up as	a lost hopeless the dead soon an
given up at	the once
given up attempting	to
given up because	of it the
given up being	a
given up by	the his all a their them him her
given up during	the
given up entirely	to
given up everything	for to
given up for	the lost dead adoption a you
given up from	the
given up going	to
given up her	own job life career
given up his	life own job position post work right seat practice
given up hope	of that for and when
given up hopes	of
given up hoping	for
given up in	the despair order favour favor exchange a disgust this
given up into	the
given up long	ago
given up looking	for
given up many	of
given up more	than
given up most	of
given up much	of
given up my	life
given up of	God
given up on	the him her me his you that life it them trying their a account finding this us ever my getting any
given up or	reduced
given up part	of
given up so	much easily
given up some	of
given up that	idea
given up the	idea struggle ghost hope fight attempt search chase practice use world notion right habit whole pursuit old game thought effort contest battle task plan cause quest job project dream
given up their	lives own old arms traditional
given up thinking	of
given up to	the him a them his be pillage their plunder her this God me it that death an us all die its pleasure obtain France you such justice destruction
given up too	much
given up trying	to
given up waiting	for
given up when	the he it
given up wholly	to
given up with	the
given up without	a
given us a	new very good great picture more most better spirit glimpse lot book chance clear vivid description few little full fine clue different much detailed valuable number complete list sense beautiful hint way graphic wonderful large series work long letter clearer
given us access	to
given us all	the things a that
given us an	account understanding opportunity excellent example interesting insight idea admirable
given us as	a the
given us at	the least
given us by	the our God a nature his Christ
given us eternal	life
given us everlasting	consolation
given us everything	we
given us for	the our a
given us from	the
given us his	own
given us in	the his Christ this our a Scripture His order
given us is	not a
given us leave	to
given us more	than
given us no	reason
given us not	only
given us of	the his God this His
given us on	the
given us one	of
given us permission	to
given us plenty	of
given us power	to
given us reason	to
given us so	much many
given us some	of idea very insight
given us something	to
given us such	a an
given us that	we
given us the	most spirit power opportunity best following means victory ability slip first right greatest gift benefit key same Spirit word true chance ministry answer name names whole tools
given us through	the
given us time	to
given us to	do understand be know see make live
given us up	for
given us what	we
given use of	the
given utterance to	the a
given value for	the
given value of	the x n a X r A p k y t
given value to	the
given values for	the
given values in	the
given values of	the a x n
given vent to	his the their her
given very careful	consideration
given very good	results
given very little	attention thought
given very satisfactory	results
given voice in	the
given voice to	the
given volume of	air the water a gas liquid solution space blood output soil
given warning of	the
given was that	the it of they he
given water to	drink
given way and	the
given way at	the
given way before	the
given way in	the
given way of	life
given way on	the
given way to	the a an more that one his new other her it another despair something their this what some such modern those my
given way under	the
given weight by	the
given weight in	the
given weight of	the water a gas gold steam air
given weight to	the
given were that	the
given what I	have
given what has	been
given what he	had
given what is	known
given what we	know have now
given when he	was
given when it	is was
given when the	patient child
given when there	is
given when they	are
given where it	is
given where there	is
given which can	be
given which could	have
given which is	not
given wholly to	the
given why the	general
given wide latitude	in to
given wide powers	to
given wide publicity	in by
given will be	found
given will not	be
given with a	view will
given with advantage	in
given with all	the
given with as	much
given with caution	to
given with great	caution care
given with one	hand
given with or	without
given with reference	to
given with regard	to
given with respect	to
given with so	much
given with sufficient	accuracy
given with the	same greatest utmost other most intention understanding patient view following object first aid help
given within a	reasonable few
given within ten	days
given within the	first time framework
given without reference	to
given without regard	to
given word or	phrase
given work in	the
given work of	art
given work to	do
given worlds to	have
given would have	been
given written notice	of to
given year and	the
given year by	the
given year can	be
given year in	the
given year is	the
given year may	be
given year to	the
given you a	good great very lot chance few new better brief full little hint
given you all	the things that I
given you an	example account opportunity idea
given you any	reason
given you as	a
given you authority	to
given you by	the your God
given you cause	to
given you credit	for
given you every	herb
given you everything	you
given you for	your the
given you from	above
given you in	that the this charge
given you leave	to
given you living	water
given you more	than
given you my	word opinion reasons
given you of	the
given you one	face
given you permission	to
given you reason	to
given you so	much
given you some	idea
given you something	to
given you such	a
given you the	best power right impression most trouble wrong opportunity command land
given you to	do me eat understand
given you up	for
given you what	you
given your heart	to
given your life	to
giver and receiver	of
giver and taker	of
giver and the	receiver recipient taker
giver as well	as
giver of all	good things life
giver of every	good
giver of life	and to
giver of light	and
giver of the	feast gift law
givers and receivers	of
gives Congress power	to
gives Congress the	power right authority
gives Himself to	us
gives This is	the
gives a basis	for
gives a better	idea picture indication fit understanding result chance account estimate sense view approximation description
gives a bibliography	of
gives a bit	of
gives a black	precipitate
gives a blue	color colour
gives a boost	to
gives a branch	to
gives a breakdown	of
gives a brief	account description overview summary history introduction but outline review survey sketch and historical explanation discussion
gives a broad	overview
gives a case	of in
gives a catalogue	of
gives a central	place role
gives a certain	amount
gives a chance	to for
gives a character	to of
gives a charm	to
gives a child	a
gives a choice	of
gives a circumstantial	account
gives a classification	of
gives a clear	picture indication and idea account view description insight statement answer impression
gives a clearer	picture idea
gives a close	approximation
gives a clue	to as
gives a coefficient	of
gives a collection	of
gives a comparison	of between
gives a complete	list picture description account and
gives a completely	different
gives a comprehensive	account view picture overview review survey list and
gives a concise	account and
gives a continuous	spectrum
gives a contribution	to
gives a copy	of
gives a couple	of
gives a cry	of
gives a curious	account
gives a damn	about what
gives a date	of
gives a deep	blue
gives a definition	of
gives a deflection	of
gives a degree	of
gives a demonstration	of
gives a density	of
gives a description	of
gives a detailed	account description analysis and picture discussion explanation list history
gives a diagram	of
gives a diagrammatic	representation
gives a difference	of
gives a different	account version picture interpretation result view explanation impression perspective meaning
gives a direct	measure reading
gives a direction	to
gives a discussion	of
gives a distorted	picture
gives a distribution	of
gives a drawing	of
gives a factor	of
gives a fair	idea indication picture
gives a fairly	good accurate complete detailed clear
gives a false	impression sense picture name
gives a far	more better
gives a fascinating	account insight
gives a feeling	of
gives a few	examples of
gives a figure	of for
gives a first	impression
gives a flavor	of
gives a flavour	of
gives a foretaste	of
gives a form	of
gives a formula	for
gives a framework	for
gives a full	account description and list
gives a fuller	account
gives a general	idea view description picture overview account survey impression indication outline introduction
gives a glimpse	of into
gives a glowing	account
gives a good	idea account indication description picture example approximation summary overview deal impression view illustration fit sense general estimate representation insight introduction survey explanation measure
gives a grand	total
gives a graphic	account description picture representation
gives a graphical	representation
gives a great	deal advantage many
gives a green	color
gives a guide	to
gives a high	degree yield
gives a higher	yield value
gives a hint	of as that
gives a history	of
gives a key	to
gives a kind	of
gives a knowledge	of
gives a large	number amount
gives a length	of
gives a list	of
gives a listing	of
gives a little	more
gives a lively	account picture description
gives a long	list account and description
gives a loose	to
gives a lot	of
gives a lovely	light
gives a lower	bound limit
gives a lucid	account
gives a man	a the an
gives a map	of
gives a mass	of
gives a maximum	of
gives a mean	of
gives a meaning	to
gives a means	of
gives a measure	of
gives a measurement	of
gives a method	of for
gives a minimum	of
gives a minute	account description
gives a misleading	impression picture
gives a mixture	of
gives a more	detailed accurate complete precise realistic uniform or general comprehensive reliable particular vivid even
gives a most	interesting
gives a moving	account
gives a much	more better higher greater larger clearer fuller lower
gives a name	to
gives a negative	result answer
gives a new	meaning and dimension twist turn direction perspective
gives a note	of
gives a notion	of
gives a number	of
gives a pair	of
gives a panoramic	view
gives a part	of
gives a partial	list
gives a particular	account
gives a peculiar	character
gives a percentage	of
gives a period	of
gives a person	a the
gives a picture	of
gives a piece	of
gives a place	to
gives a plan	of
gives a plot	of
gives a point	of
gives a population	of
gives a portion	of
gives a portrait	of
gives a positive	reaction result test
gives a possibility	to
gives a power	of to
gives a precipitate	of with
gives a preference	to
gives a pressure	of
gives a pretty	good
gives a preview	of
gives a probability	of
gives a product	of
gives a profile	of
gives a prominent	place
gives a proof	of
gives a proportion	of
gives a quantitative	measure
gives a quite	different
gives a quotation	from
gives a quotient	of
gives a range	of
gives a rate	of
gives a rather	different
gives a ratio	of
gives a rationale	for
gives a reading	of
gives a realistic	picture
gives a reason	for why
gives a reasonable	approximation estimate
gives a reasonably	accurate good
gives a receipt	for
gives a recipe	for
gives a record	of
gives a red	color colour
gives a reference	to
gives a relation	between
gives a relationship	between
gives a relish	to
gives a report	of on
gives a representation	of
gives a result	of which that
gives a resume	of
gives a return	of
gives a review	of
gives a right	to of
gives a rough	idea indication estimate measure
gives a rule	for
gives a sample	of
gives a satisfactory	explanation
gives a schematic	representation
gives a section	of
gives a selection	of
gives a semblance	of
gives a sensation	of
gives a sense	of
gives a sequence	of
gives a series	of
gives a set	of
gives a shit	about
gives a shock	to
gives a short	account description history summary overview but
gives a signal	to
gives a similar	account description result picture
gives a simple	and example
gives a sketch	of
gives a slightly	different higher
gives a slope	of
gives a snapshot	of
gives a solution	of to
gives a somewhat	different more
gives a sort	of
gives a special	character
gives a specimen	of
gives a statement	of
gives a still	more
gives a straight	line
gives a striking	picture example
gives a strong	impression indication sense
gives a succinct	account
gives a suggestion	of
gives a sum	of
gives a summary	of
gives a survey	of
gives a synopsis	of
gives a system	of
gives a table	of showing
gives a taste	of
gives a temperature	of
gives a tendency	to
gives a thought	to
gives a title	to
gives a tone	to
gives a total	of
gives a totally	different
gives a touch	of
gives a translation	of
gives a true	picture and
gives a truer	picture
gives a typical	example
gives a unity	to
gives a useful	summary account
gives a value	of for to
gives a variety	of
gives a velocity	of
gives a version	of
gives a very	good different clear interesting full detailed high fair complete brief simple accurate vivid strong satisfactory useful similar large poor graphic small fine low particular close curious inadequate
gives a view	of
gives a violet	color
gives a vivid	picture description account impression and idea
gives a voice	to
gives a way	of to
gives a wealth	of
gives a white	precipitate
gives a whole	new
gives a wide	range
gives a woman	a
gives a wrong	impression answer
gives a yellow	precipitate color
gives a yield	of
gives a zest	to
gives about the	same
gives abundant evidence	of
gives access to	the a all an
gives account of	the
gives added weight	to
gives additional information	about on
gives additional support	to
gives additional weight	to
gives advice on	how the
gives advice to	the
gives aid and	comfort
gives all of	the us
gives all the	information details necessary credit
gives almost the	same
gives ample evidence	of that
gives ample opportunity	for
gives ample proof	of
gives ample scope	for
gives an Account	of
gives an abstract	of
gives an account	of in
gives an accurate	picture description account and
gives an acid	reaction
gives an added	dimension
gives an admirable	account
gives an advantage	to
gives an affirmative	answer
gives an age	of
gives an air	of
gives an alkaline	reaction
gives an amusing	account description
gives an analysis	of
gives an answer	to that of
gives an appearance	of
gives an approximate	idea value
gives an approximation	of to
gives an area	of
gives an assessment	of
gives an average	of value
gives an edge	to
gives an effect	of
gives an elaborate	account description
gives an engraving	of
gives an entirely	different new
gives an equation	for
gives an error	of
gives an estimate	of for
gives an estimation	of
gives an evaluation	of
gives an even	more
gives an example	of from in for to where that
gives an excellent	account idea description summary picture example overview review discussion view analysis illustration survey and
gives an explanation	of for
gives an exposition	of
gives an expression	for of
gives an extract	from
gives an idea	of about as
gives an illusion	of
gives an illustration	of
gives an image	of
gives an impetus	to
gives an important	clue place
gives an impression	of that
gives an impulse	to
gives an incentive	to
gives an incomplete	picture
gives an increase	in of
gives an index	of
gives an indication	of that as
gives an inkling	of
gives an insight	into
gives an instance	of in
gives an interest	to
gives an interesting	account description picture example and insight glimpse
gives an interpretation	of
gives an introduction	to
gives an opportunity	to for of
gives an option	to
gives an order	to
gives an outline	of
gives an output	of
gives an overall	view picture
gives an overview	of on
gives an understanding	of
gives an upper	bound limit
gives and him	that who
gives and takes	away
gives another example	of
gives another reason	for
gives another version	of
gives any hint	of
gives any indication	of that
gives approximately the	same
gives as a	reason result
gives as an	example instance
gives as examples	of the
gives as good	as a
gives as his	reason authority opinion
gives as much	as
gives as one	of
gives as the	reason first
gives as to	the
gives as well	as
gives assurance that	the it
gives at a	glance
gives at least	a some one the
gives at once	the a
gives at the	same end
gives attachment to	the a
gives attention to	the
gives authority to	the a
gives back to	the
gives being to	the
gives better results	than in
gives birth in	the
gives birth to	a the her an all new another two twins sin one its it his them live many death their such
gives body to	the
gives branches to	the
gives brief descriptions	of
gives but a	faint very
gives by far	the
gives careful attention	to
gives cause for	concern
gives character to	the
gives children a	chance
gives children an	opportunity
gives children the	opportunity
gives clear evidence	of that
gives clear expression	to
gives close attention	to
gives clues as	to
gives clues to	the
gives coherence to	the
gives color to	the
gives colour to	the
gives comfort to	the
gives concrete expression	to
gives confidence in	the
gives confidence to	the
gives considerable attention	to
gives considerable insight	into
gives considerable space	to
gives considerable weight	to
gives consideration to	the
gives content to	the
gives continuity to	the
gives control of	the
gives control to	the
gives countenance to	the
gives credence to	the this
gives credibility to	the
gives credit for	the
gives credit to	the
gives data for	the
gives data on	the
gives depth to	the
gives detailed accounts	of
gives detailed descriptions	of
gives detailed information	on about
gives detailed instructions	for
gives details about	the
gives details of	the a his
gives details on	the
gives dignity to	the
gives direct access	to
gives direction to	the
gives directions as	to
gives directions for	the
gives directions to	the
gives do I	give
gives due attention	to
gives due consideration	to
gives due credit	to
gives due recognition	to
gives due weight	to
gives each child	a
gives each of	us the them
gives easy access	to
gives effect to	the a
gives emphasis to	the
gives employees the	right
gives employment to	a about many the
gives encouragement to	the
gives energy to	the
gives entrance to	the
gives equal importance	to
gives equal weight	to
gives essentially the	same
gives estimates of	the
gives eternal life	to
gives every appearance	of
gives every evidence	of
gives every indication	of that
gives every man	a
gives every promise	of
gives every sign	of
gives everyone a	chance
gives evidence for	the
gives evidence of	the a his this being having an its
gives evidence that	the he
gives evidence to	the
gives exactly the	same
gives examples of	the how this some such each these what
gives excellent results	in
gives existence to	the
gives expression to	the his a this an its what it her
gives extracts from	the
gives feedback to	the
gives figures for	the
gives financial assistance	to
gives first place	to
gives first priority	to
gives flexibility to	the
gives food for	thought
gives food to	the
gives for the	first total
gives for this	is
gives force to	the public
gives form to	the
gives free play	to
gives free reign	to
gives free rein	to
gives free scope	to
gives freedom to	the
gives full credit	to
gives full details	of
gives full expression	to
gives full play	to
gives full recognition	to
gives full rein	to
gives full scope	to
gives full vent	to
gives full weight	to
gives further credence	to
gives further details	of
gives further evidence	of that
gives further information	about on
gives further insight	into
gives further support	to
gives generously to	all
gives glory to	God
gives good agreement	with
gives good reason	to for
gives good reasons	for
gives good results	in for with when
gives grace to	the
gives great importance	to
gives great power	to
gives great prominence	to
gives great satisfaction	to
gives great weight	to
gives greater emphasis	to
gives greater importance	to
gives greater prominence	to
gives greater weight	to
gives ground for	the
gives guidance on	the
gives guidance to	the
gives her a	chance sense new kiss little look hug big good
gives her all	the
gives her an	opportunity
gives her hand	to
gives her name	to as
gives her something	to
gives her the	right opportunity power
gives her time	to
gives herself over	to
gives herself to	him the a
gives herself up	to
gives high praise	to
gives high priority	to
gives him a	chance sense new right feeling certain good place great little very special better look claim more big greater kiss unique long share kind high piece power letter few
gives him access	to
gives him all	the
gives him an	opportunity advantage idea air
gives him back	his
gives him credit	for
gives him her	hand
gives him his	daughter
gives him leave	to
gives him no	right
gives him one	of
gives him or	her
gives him permission	to
gives him power	to over
gives him so	much
gives him something	to
gives him strength	to
gives him such	a
gives him the	right opportunity power same chance title name appearance best ability most strength feeling greatest courage means money freedom advantage idea
gives him time	to
gives him to	understand
gives him what	he
gives himself out	as
gives himself over	to
gives himself to	the us his be
gives himself up	to entirely
gives himself wholly	to
gives himself with	his
gives his account	of
gives his address	as
gives his age	as
gives his allegiance	to
gives his assent	to
gives his attention	to
gives his blessing	to
gives his consent	to
gives his daughter	in to
gives his hand	to
gives his harness	bells
gives his heart	to
gives his impression	of
gives his impressions	of
gives his interpretation	of
gives his life	for to
gives his mind	to
gives his name	to as and
gives his opinion	of that on
gives his or	her
gives his own	account opinion version interpretation
gives his political	allegiance support
gives his readers	a
gives his reason	for
gives his reasons	for
gives his son	a
gives his support	to
gives his version	of
gives his view	of
gives his views	on
gives his wife	a
gives his work	a its
gives hope for	the
gives hope to	the all
gives impetus to	the
gives importance to	the
gives important information	about
gives in detail	the
gives in his	book
gives in order	to
gives in support	of
gives in the	first following
gives in this	case
gives in to	the his her a
gives indication of	the
gives information about	the a
gives information as	to
gives information concerning	the
gives information of	the
gives information on	the how
gives information regarding	the
gives information to	the
gives insertion to	the
gives insight into	the how
gives insights into	the
gives instances of	the
gives instructions for	the
gives instructions on	how
gives instructions to	the
gives insufficient attention	to
gives interest to	the
gives is that	of the
gives it a	new very certain special more peculiar name unique different place great greater high good sense value strong distinctive particular much little kind chance meaning character somewhat body distinct most higher
gives it access	to
gives it all	its the
gives it an	advantage air appearance
gives it as	his a the an
gives it back	to
gives it in	the his a
gives it its	name value meaning peculiar special power character
gives it life	and
gives it meaning	and
gives it power	to
gives it such	a
gives it the	appearance name power right same ability character most form
gives it to	the him me you us her his them a another be
gives it up	to
gives its character	to
gives its consent	to
gives its holder	the
gives its name	to
gives its owner	the
gives its title	to
gives itself over	to
gives itself to	the be
gives itself up	to
gives joy to	the
gives jurisdiction to	the
gives knowledge of	the
gives legitimacy to	the
gives less weight	to
gives life to	the all a thee his those our
gives light to	the all everyone
gives lip service	to
gives little attention	to
gives little evidence	of
gives little hint	of
gives little idea	of
gives little indication	of
gives little information	about
gives little insight	into
gives little more	than
gives little or	no
gives little support	to
gives little thought	to
gives many details	of
gives many examples	of
gives many instances	of
gives many of	the
gives me a	chance sense great feeling good little headache lot look pain very big hug certain new right quick better thrill kiss hard kind sort long reason strange real bad few warm lift funny greater
gives me access	to
gives me all	the
gives me an	opportunity idea excuse
gives me as	much
gives me back	my
gives me courage	to
gives me credit	for
gives me goose	bumps
gives me great	pleasure satisfaction joy pain concern comfort
gives me greater	pleasure
gives me hope	that for
gives me joy	to
gives me leave	to
gives me more	pleasure time
gives me much	pleasure
gives me no	pleasure peace
gives me occasion	to
gives me one	of
gives me pain	to
gives me particular	pleasure
gives me permission	to
gives me pleasure	to
gives me plenty	of
gives me real	pleasure
gives me reason	to
gives me sincere	pleasure
gives me so	much
gives me something	to
gives me strength	to and
gives me such	a
gives me the	creeps opportunity greatest right impression most feeling strength willies chance shivers same courage idea following power best highest freedom chills
gives me time	to
gives me to	understand see
gives me very	great little
gives me what	I
gives meaning and	purpose value direction
gives meaning to	the life our all his their a what human
gives money to	the a
gives more accurate	results
gives more and	more
gives more attention	to
gives more detail	on
gives more detailed	information
gives more details	of about on
gives more emphasis	to
gives more importance	to
gives more information	about than on
gives more insight	into
gives more of	the
gives more or	less
gives more power	to
gives more room	for
gives more space	to
gives more than	a one he the
gives more time	for to
gives more weight	to
gives most of	the his
gives motion to	the a
gives much attention	to
gives much better	results
gives much information	about on
gives much of	the
gives much space	to
gives much the	same
gives much valuable	information
gives name to	the a
gives nearly the	same
gives new life	to
gives new meaning	to
gives no account	of
gives no answer	to
gives no assurance	that of
gives no attention	to
gives no authority	for to
gives no basis	for
gives no cause	for
gives no clear	indication
gives no clue	to as
gives no consideration	to
gives no countenance	to
gives no credit	to
gives no date	for
gives no definition	of
gives no description	of
gives no details	of
gives no encouragement	to
gives no evidence	of that for
gives no examples	of
gives no explanation	of for
gives no further	details information
gives no ground	for
gives no grounds	for
gives no guarantee	that
gives no guidance	as
gives no heed	to
gives no hint	of that as
gives no idea	of
gives no impression	of
gives no indication	of that as
gives no information	about on as
gives no inkling	of
gives no insight	into
gives no intimation	of
gives no less	than
gives no more	than
gives no opportunity	for
gives no place	to
gives no power	to
gives no precipitate	with
gives no promise	of
gives no proof	of
gives no quarter	to
gives no reaction	with
gives no reason	for to why
gives no reasons	for
gives no right	to of
gives no room	for
gives no sanction	to
gives no sense	of
gives no sign	of that
gives no source	for
gives no support	to
gives no thought	to
gives no warning	of
gives no warrant	for
gives no weight	to
gives not only	the a
gives not the	slightest least
gives nothing in	return
gives notice in	writing
gives notice of	the his its a
gives notice that	he the
gives notice to	the
gives numerous examples	of
gives occasion for	the a
gives occasion to	the a
gives of himself	in
gives of his	own
gives off a	branch small large number strong very
gives off branches	to
gives off carbon	dioxide
gives off from	its
gives off no	branches
gives off numerous	branches
gives off one	or
gives off several	branches
gives off the	following posterior anterior
gives off two	branches
gives on to	the
gives one a	sense feeling good very better chance
gives one an	idea opportunity impression
gives one example	of
gives one of	the his
gives one or	two
gives one some	idea
gives one such	a
gives one the	impression feeling idea right opportunity sense
gives only a	partial very rough few small brief general slight faint
gives only an	approximate
gives opportunity for	the a
gives order to	the
gives orders for	the
gives orders to	the his
gives origin to	the a
gives other examples	of
gives out that	he
gives part of	the
gives particular attention	to
gives particular emphasis	to
gives particulars of	the
gives passage to	the
gives peace to	the
gives people a	sense chance
gives people an	opportunity
gives people the	opportunity
gives perhaps the	best most
gives permission for	the
gives permission to	the
gives place to	the a another an that
gives plausibility to	the
gives pleasure to	the
gives point to	the
gives power to	the a
gives practical advice	on
gives practically the	same
gives precedence to	the
gives precisely the	same
gives preference to	the
gives preferential treatment	to
gives pride of	place
gives primacy to	the
gives priority to	the
gives prominence to	the
gives promise of	a being the becoming
gives proof of	the his a
gives protection to	the
gives quite a	different
gives reality to	the
gives reason to	believe suppose hope
